Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal
Bmw,118,4995,254600,09/2007,Gasolina,143,Contáctanos en: • ES-29004 MÁLAGA,Manual,29004
Bmw,320,36900,21300,08/2024,Gasolina,184,Contáctanos en: • ES-28939 ARROYOMOLINOS,Automático,28939
Bmw,x6,16500,230000,07/2008,Diésel,286,Contáctanos en: • ES-28802 ALCALA DE HENARES,Automático,28802
Bmw,x3,12998,117840,01/2015,Diésel,190,Contáctanos en: • ES-29630 Benalmadena,Automático,29630
Bmw,640,26990,113437,12/2014,Diésel,313,Contáctanos en: • ES-28500 ARGANDA DEL REY,Automático,28500
Bmw,745,51900,46700,12/2020,Electro/Gasolina,394,Contáctanos en: • ES-28939 ARROYOMOLINOS,Automático,28939
Bmw,118,4990,234854,04/2007,Diésel,143,Contáctanos en: • ES-17180 VILABLAREIX,Manual,17180
Bmw,x2,16500,153000,09/2020,Diésel,116,Contáctanos en: • ES-27500 CHANTADA,Automático,27500
Bmw,320,6999,191000,07/2005,Gasolina,170,Contáctanos en: • ES-30400 CARAVACA DE LA CRUZ,Automático,30400
Bmw,318,7990,185000,09/2009,Gasolina,143,Contáctanos en: • ES-28013 MADRID,Manual,28013
Bmw,x5,12490,249000,04/2009,Diésel,286,Contáctanos en: • ES-48970 BASAURI,Automático,48970
Bmw,520,24900,112000,01/2020,Diésel,190,Contáctanos en: • ES-8960 SANT JUST DESVERN (BARCELONA),Automático,08960
Bmw,545,44900,35700,06/2021,Electro/Gasolina,394,Contáctanos en: • ES-28939 ARROYOMOLINOS,Automático,28939
Bmw,530,22990,143850,07/2019,Electro/Gasolina,250,Contáctanos en: • ES-18320 SANTA FE,Automático,18320
Bmw,118,18803,72935,11/2020,Diésel,150,Contáctanos en: • ES-28019 MADRID,Manual,28019
Bmw,320,11500,129000,12/2008,Gasolina,170,Contáctanos en: • ES-28019 MADRID,Manual,28019
Bmw,x3,11990,171213,03/2011,Diésel,184,Contáctanos en: • ES-17180 VILABLAREIX,Automático,17180
Bmw,x1,20150,97711,03/2022,Diésel,116,Contáctanos en: • ES-50011 ZARAGOZA,Manual,50011
Bmw,x3,16390,175000,08/2016,Diésel,150,Contáctanos en: • ES-28802 ALCALA DE HENARES,Manual,28802
Bmw,x1,9990,173000,03/2010,Diésel,177,Contáctanos en: • ES-08740 Sant Andreu de la Barca,Manual,08740
